;* - 120y;
;1 ;David Oliver;USA ;12.94;;1;EugeneOR;Jun 04;
;2 ;Xiang Liu;CHN ;13.00;;2;EugeneOR;Jun 04;
;2 ;Dayron Robles;CUB ;13.00;;1;Zagreb;Sep 13;
;4 ;Jason Richardson;USA ;13.04;;2;Zagreb;Sep 13;
;5 ;Aries Merritt;USA ;13.12;;1;Oslo;Jun 09;
;6 ;Dwight Thomas;JAM ;13.15;;2;Oslo;Jun 09;
;7 ;Terrence Trammell;USA ;13.16;;4;EugeneOR;Jun 25;
;8 ;Joel Brown;USA ;13.20;;3;Oslo;Jun 09;
;9 ;Andrew Turner;GBR ;13.22;;4;Lausanne;Jun 30;
;10 ;Omo Osaghae;USA ;13.23;;1;NormanOK;May 15;
;11 ;Hansle Parchment;JAM ;13.24;;1;Shenzhen;Aug 20;
;12 ;Ronnie Ash;USA ;13.25;;1h1;EugeneOR;Jun 24;
;13 ;Jeff Porter;USA ;13.26;;5;EugeneOR;Jun 25;
;14 ;Paulo Villar;COL ;13.27;A;2;GuadalajaraMEX;Oct 28;
;15 ;Tyrone Akins;USA ;13.30;;2;Padova;Jul 17;
;15 ;Orlando Ortega;CUB ;13.30;A;3;GuadalajaraMEX;Oct 28;
;17 ;Andrew Riley;JAM ;13.32;;1r2;EugeneOR;May 28;
;17 ;Dominic Berger;USA ;13.32;;2h1;EugeneOR;Jun 24;
;19 ;Oscar Spurlock;USA ;13.33;;1r2;WalnutCA;Apr 16;
;20 ;Antwon Hicks;USA ;13.35;;1r1;LawrenceKS;Apr 23;
;20 ;Ashton Eaton;USA ;13.35;;5;EugeneOR;Jun 04;
;20 ;Konstantin Shabanov;RUS ;13.35;;1;Yerino;Jun 24;
;20 ;Dexter Faulk;USA ;13.35;;4;Padova;Jul 17;
;24 ;Ryan Wilson;USA ;13.36;;6;Oslo;Jun 09;
;25 ;Garfield Darien;FRA ;13.37;;5;Lausanne ;Jun 30;
;25 ;Dimitri Bascou;FRA ;13.37;;1r1;La Chaux-de-Fonds;Jul 03;
